Title,Rating,Votes,Duration,Genre
1. Freaky Tales,6.3, (4.3K),1h 47m,Adventure
2. Gladiator II,6.5, (234K),2h 28m,Adventure
3. Twisters,6.5, (170K),2h 2m,Adventure
4. Mufasa: The Lion King,6.6, (66K),1h 58m,Adventure
5. Kraven the Hunter,5.5, (57K),2h 7m,Adventure
6. Deadpool & Wolverine,7.6, (495K),2h 8m,Adventure
7. Dune: Part Two,8.5, (628K),2h 46m,Adventure
8. Flow,7.9, (77K),1h 25m,Adventure
9. Moana 2,6.6, (104K),1h 40m,Adventure
10. Sonic the Hedgehog 3,6.9, (61K),1h 50m,Adventure
11. The Return,6.2, (9.1K),1h 56m,Adventure
12. Venom: The Last Dance,6.0, (120K),1h 50m,Adventure
13. Furiosa: A Mad Max Saga,7.5, (286K),2h 28m,Adventure
14. The Count of Monte-Cristo,7.6, (35K),2h 58m,Adventure
15. Paddington in Peru,6.7, (22K),1h 46m,Adventure
16. Borderlands,4.7, (49K),1h 41m,Adventure
17. Madame Web,4.0, (101K),1h 56m,Adventure
18. The Unholy Trinity,,,1h 33m,Adventure
19. Love Lies Bleeding,6.6, (57K),1h 44m,Adventure
20. Transformers One,7.6, (51K),1h 44m,Adventure
21. Inside Out 2,7.5, (218K),1h 36m,Adventure
22. Despicable Me 4,6.2, (66K),1h 34m,Adventure
23. Bad Boys: Ride or Die,6.5, (101K),1h 55m,Adventure
24. The Day the Earth Blew Up: A Looney Tunes Movie,7.0, (4.6K),1h 31m,Adventure
25. Survive,4.5, (2.7K),1h 30m,Adventure
26. The Lord of the Rings: The War of the Rohirrim,6.3, (31K),2h 14m,Adventure
27. Red One,6.3, (140K),2h 3m,Adventure
28. Kingdom of the Planet of the Apes,6.9, (152K),2h 25m,Adventure
29. Godzilla x Kong: The New Empire,6.0, (122K),1h 55m,Adventure
30. Damsel,6.1, (110K),1h 50m,Adventure
31. Ghostbusters: Frozen Empire,6.1, (94K),1h 55m,Adventure
32. Kung Fu Panda 4,6.3, (69K),1h 34m,Adventure
33. Uglies,4.7, (33K),1h 40m,Adventure
34. Solo Leveling: ReAwakening,8.8, (13K),2h 1m,Adventure
35. Spaceman,5.7, (43K),1h 47m,Adventure
36. Descendants: The Rise of Red,4.7, (7.1K),1h 31m,Adventure
37. The Garfield Movie,5.7, (24K),1h 41m,Adventure
38. Attack on Titan the Movie: The Last Attack,9.2, (16K),2h 25m,Adventure
39. No Way Up,4.6, (11K),1h 30m,Adventure
40. Atlas,5.6, (56K),1h 58m,Adventure
41. My Penguin Friend,6.8, (5.4K),1h 37m,Adventure
42. Harold and the Purple Crayon,5.7, (8.5K),1h 30m,Adventure
43. Wallace & Gromit: Vengeance Most Fowl,7.5, (35K),1h 22m,Adventure
44. Arthur the King,7.0, (34K),1h 47m,Adventure
45. Spellbound,5.5, (7.5K),1h 49m,Adventure
46. Kalki 2898 AD,7.0, (67K),3h,Adventure
47. Rebel Moon - Part Two: The Scargiver,5.3, (59K),2h 2m,Adventure
48. Monster Summer,5.7, (3.8K),1h 37m,Adventure
49. Night of the Zoopocalypse,6.0, (739),1h 31m,Adventure
50. My Hero Academia: You're Next,7.0, (2.3K),1h 50m,Adventure
51. No Chains No Masters,6.4, (580),1h 38m,Adventure
52. Hitpig,5.1, (982),1h 26m,Adventure
53. Orion and the Dark,6.3, (17K),1h 33m,Adventure
54. Lost on a Mountain in Maine,6.1, (1.3K),1h 38m,Adventure
55. Family Pack,5.5, (9.2K),1h 34m,Adventure
56. The Best Christmas Pageant Ever,6.8, (6.2K),1h 39m,Adventure
57. Something in the Water,4.1, (4.8K),1h 26m,Adventure
58. Megamind vs. The Doom Syndicate,2.5, (5.6K),1h 23m,Adventure
59. Badland Hunters,5.9, (12K),1h 47m,Adventure
60. Winner,6.5, (2.5K),1h 43m,Adventure
61. Bambi: A Tale of Life in the Woods,5.7, (191),1h 18m,Adventure
62. Woody Woodpecker Goes to Camp,4.5, (2.6K),1h 40m,Adventure
63. Sasquatch Sunset,5.4, (5.5K),1h 28m,Adventure
64. The Waves of Madness,6.1, (74),1h 8m,Adventure
65. The Goat Life,7.1, (47K),2h 53m,Adventure
66. The Last Redemption,6.3, (3.8K),2h 2m,Adventure
67. Escape,6.4, (2.1K),1h 34m,Adventure
"68. I, the Executioner",6.3, (1.8K),1h 58m,Adventure
69. Thelma the Unicorn,5.7, (3K),1h 33m,Adventure
70. Justice League: Crisis on Infinite Earths - Part One,6.2, (8.5K),1h 33m,Adventure
71. Doraemon the Movie: Nobita's Earth Symphony,6.6, (1.5K),1h 55m,Adventure
72. Overlord: The Sacred Kingdom,6.9, (1.2K),2h 15m,Adventure
73. Manjummel Boys,8.2, (27K),2h 15m,Adventure
74. That Christmas,6.8, (17K),1h 31m,Adventure
75. The Courier,6.0, (4.5K),1h 41m,Adventure
76. Justice League: Crisis on Infinite Earths - Part Three,6.1, (4.6K),1h 34m,Adventure
77. A Legend,4.7, (935),2h 9m,Adventure
78. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1, (8.6K),1h 44m,Adventure
79. Buffalo Kids,6.6, (712),1h 33m,Adventure
80. Crayon Shin-chan: Ora's Dinosaur Diary,6.4, (375),1h 46m,Adventure
81. Bookworm,6.0, (1.9K),1h 43m,Adventure
82. Raqa,5.6, (247),1h 47m,Adventure
83. Ultraman: Rising,6.9, (6.4K),1h 57m,Adventure
84. Un lío de millones,5.2, (140),1h 31m,Adventure
85. The Empire,5.2, (1.3K),1h 50m,Adventure
86. The Price of Money: A Largo Winch Adventure,5.0, (1.2K),1h 40m,Adventure
87. The Tiger's Apprentice,5.7, (2.2K),1h 24m,Adventure
88. Dragonkeeper,5.7, (1.7K),1h 38m,Adventure
89. Kanguva,4.5, (15K),2h 32m,Adventure
90. Cult Killer,4.8, (2.8K),1h 45m,Adventure
91. River of Blood,5.1, (1.8K),1h 26m,Adventure
92. Bureau 749,4.0, (548),2h 3m,Adventure
93. The Wages of Fear,4.6, (4.1K),1h 44m,Adventure
94. Saint-Exupéry,5.4, (361),1h 38m,Adventure
95. Saving Bikini Bottom: The Sandy Cheeks Movie,3.7, (3.9K),1h 22m,Adventure
96. Hanu Man,7.7, (29K),2h 38m,Adventure
97. Justice League: Crisis on Infinite Earths - Part Two,5.5, (5.4K),1h 34m,Adventure
98. Sixty Minutes,5.7, (5.2K),1h 28m,Adventure
99. Anaconda,4.9, (644),1h 24m,Adventure
100. Its Name Was Mormo,3.7, (117),1h 33m,Adventure
101. Unspeakable: Beyond the Wall of Sleep,6.1, (55),1h 30m,Adventure
102. Thangalaan,6.6, (6.7K),2h 36m,Adventure
103. Cells at Work!,6.7, (282),1h 49m,Adventure
104. Gladiators,4.5, (84),1h 35m,Adventure
105. 200% Wolf,5.9, (1.3K),1h 38m,Adventure
106. Angels Fallen: Warriors of Peace,4.9, (5.8K),1h 43m,Adventure
107. Son's Will,7.4, (888),2h 28m,Adventure
108. Operation Blood Hunt,3.4, (494),1h 33m,Adventure
109. This Too Shall Pass,9.0, (16),1h 45m,Adventure
110. WWII: Operation Phoenix,6.0, (86),1h 46m,Adventure
111. A.R.M,7.1, (8.8K),2h 30m,Adventure
112. The Last of Us: Immunity,4.6, (23),1h 4m,Adventure
113. Golden Kamuy,6.3, (2.6K),2h 7m,Adventure
114. Man and Witch: The Dance of a Thousand Steps,5.5, (335),1h 34m,Adventure
115. Dalia y el Libro Rojo,6.5, (100),1h 47m,Adventure
116. The Firing Squad,5.1, (5K),1h 33m,Adventure
117. Devil's Knight,5.3, (914),1h 30m,Adventure
118. Autumn and the Black Jaguar,5.6, (1K),1h 40m,Adventure
119. The Twisters,2.5, (347),1h 26m,Adventure
120. My Oni Girl,6.0, (1.8K),1h 52m,Adventure
121. Chuck Billy and the Marvelous Guava Tree,7.4, (1.1K),1h 30m,Adventure
122. Bade Miyan Chote Miyan,3.7, (39K),2h 43m,Adventure
123. Robin and the Hoods,4.3, (513),1h 40m,Adventure
124. The Magician's Raincoat,5.5, (114),,Adventure
125. War of the Worlds: Extinction,3.0, (209),1h 24m,Adventure
126. Birds Flying East,5.8, (582),1h 40m,Adventure
127. Eat the Night,6.1, (492),1h 46m,Adventure
128. Escape from the 21st Century,6.5, (912),1h 38m,Adventure
129. Rebellious,6.0, (200),1h 34m,Adventure
130. Big City Greens the Movie: Spacecation,6.2, (547),1h 23m,Adventure
131. The Keepers of the 5 Kingdoms,4.0, (221),1h 49m,Adventure
132. Mobile Suit Gundam SEED Freedom,6.6, (959),2h 4m,Adventure
133. Noah's Ark,4.3, (671),1h 36m,Adventure
134. Bionic,4.3, (1.7K),1h 50m,Adventure
135. A Sloth Story,5.6, (210),1h 30m,Adventure
136. Lumina,2.1, (676),1h 53m,Adventure
137. Spiders on a Plane,5.0, (375),1h 18m,Adventure
138. The Last Ronin,4.9, (582),1h 55m,Adventure
139. Roadkill,3.7, (688),1h 30m,Adventure
140. Diplodocus,6.3, (183),1h 30m,Adventure
141. Gaami,6.4, (2K),2h 27m,Adventure
142. Now or Never!,2.2, (17K),,Adventure
143. Panda Bear in Africa,5.5, (352),1h 24m,Adventure
144. Road Wars: Max Fury,2.0, (355),1h 23m,Adventure
145. Meanwhile on Earth,6.0, (927),1h 29m,Adventure
146. Bull Shark 3,3.5, (87),1h 16m,Adventure
147. Fox & Hare Save the Forest,5.9, (204),1h 11m,Adventure
148. Pimpinero: Blood and Oil,5.6, (555),2h 1m,Adventure
149. The Mountain,6.6, (159),1h 29m,Adventure
150. No Time to Spy: A Loud House Movie,6.4, (459),1h 21m,Adventure
151. Rally Caps,5.6, (140),1h 40m,Adventure
152. Ayalaan,6.0, (4K),2h 35m,Adventure
