Title,Rating,Votes,Duration,Genre
1. Mufasa: The Lion King,6.6, (66K),1h 58m,Animation
2. The Wild Robot,8.2, (166K),1h 42m,Animation
3. Flow,7.9, (77K),1h 25m,Animation
4. Moana 2,6.6, (104K),1h 40m,Animation
5. Paddington in Peru,6.7, (22K),1h 46m,Animation
6. Transformers One,7.6, (51K),1h 44m,Animation
7. Inside Out 2,7.5, (218K),1h 36m,Animation
8. Despicable Me 4,6.2, (66K),1h 34m,Animation
9. The Day the Earth Blew Up: A Looney Tunes Movie,7.0, (4.6K),1h 31m,Animation
10. IF,6.4, (58K),1h 44m,Animation
11. The Lord of the Rings: The War of the Rohirrim,6.3, (31K),2h 14m,Animation
12. Kung Fu Panda 4,6.3, (69K),1h 34m,Animation
13. Memoir of a Snail,7.8, (18K),1h 35m,Animation
14. Solo Leveling: ReAwakening,8.8, (13K),2h 1m,Animation
15. The Garfield Movie,5.7, (24K),1h 41m,Animation
16. Attack on Titan the Movie: The Last Attack,9.2, (16K),2h 25m,Animation
17. Harold and the Purple Crayon,5.7, (8.5K),1h 30m,Animation
18. Wallace & Gromit: Vengeance Most Fowl,7.5, (35K),1h 22m,Animation
19. Spellbound,5.5, (7.5K),1h 49m,Animation
20. Watchmen: Chapter I,7.1, (6.7K),1h 23m,Animation
21. Look Back,7.8, (15K),58m,Animation
22. Night of the Zoopocalypse,6.0, (739),1h 31m,Animation
23. My Hero Academia: You're Next,7.0, (2.3K),1h 50m,Animation
24. Spermageddon,5.7, (848),1h 20m,Animation
25. Piece by Piece,6.9, (5.5K),1h 33m,Animation
26. Hitpig,5.1, (982),1h 26m,Animation
27. The Remarkable Life of Ibelin,8.2, (12K),1h 43m,Animation
28. Orion and the Dark,6.3, (17K),1h 33m,Animation
29. Limonov: The Ballad of Eddie,5.9, (886),2h 18m,Animation
30. Watchmen: Chapter II,7.0, (3.2K),1h 30m,Animation
31. Mars,7.9, (23),1h 24m,Animation
32. Megamind vs. The Doom Syndicate,2.5, (5.6K),1h 23m,Animation
33. The Most Precious of Cargoes,7.1, (1.1K),1h 21m,Animation
34. Woody Woodpecker Goes to Camp,4.5, (2.6K),1h 40m,Animation
35. Thelma the Unicorn,5.7, (3K),1h 33m,Animation
36. Justice League: Crisis on Infinite Earths - Part One,6.2, (8.5K),1h 33m,Animation
37. Doraemon the Movie: Nobita's Earth Symphony,6.6, (1.5K),1h 55m,Animation
38. Overlord: The Sacred Kingdom,6.9, (1.2K),2h 15m,Animation
39. That Christmas,6.8, (17K),1h 31m,Animation
40. Grand Theft Hamlet,6.9, (2K),1h 29m,Animation
41. Justice League: Crisis on Infinite Earths - Part Three,6.1, (4.6K),1h 34m,Animation
42. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1, (8.6K),1h 44m,Animation
43. Buffalo Kids,6.6, (712),1h 33m,Animation
44. Crayon Shin-chan: Ora's Dinosaur Diary,6.4, (375),1h 46m,Animation
45. Ultraman: Rising,6.9, (6.4K),1h 57m,Animation
46. Dan Da Dan: First Encounter,8.2, (2.8K),1h 23m,Animation
47. The Tiger's Apprentice,5.7, (2.2K),1h 24m,Animation
48. Dragonkeeper,5.7, (1.7K),1h 38m,Animation
49. Haikyu!! The Dumpster Battle,7.7, (6.3K),1h 25m,Animation
50. Saving Bikini Bottom: The Sandy Cheeks Movie,3.7, (3.9K),1h 22m,Animation
51. Justice League: Crisis on Infinite Earths - Part Two,5.5, (5.4K),1h 34m,Animation
52. The Colors Within,7.1, (1K),1h 41m,Animation
53. 10 Lives,5.9, (1.9K),1h 28m,Animation
54. 200% Wolf,5.9, (1.3K),1h 38m,Animation
55. Johnny Puff: Secret Mission,4.8, (455),1h 27m,Animation
56. Frida,7.5, (1.5K),1h 27m,Animation
57. Blue Lock: Episode Nagi,6.6, (2.5K),1h 31m,Animation
58. Super-Charlie,5.8, (135),1h 20m,Animation
59. Dalia y el Libro Rojo,6.5, (100),1h 47m,Animation
60. From Ground Zero,7.9, (543),1h 52m,Animation
61. Boys Go to Jupiter,7.0, (101),1h 30m,Animation
62. Mononoke the Movie: The Phantom in the Rain,6.8, (1.3K),1h 29m,Animation
63. Given 3: To the Sea,8.8, (81),1h 20m,Animation
64. The Glassworker,7.3, (1.8K),1h 38m,Animation
65. My Oni Girl,6.0, (1.8K),1h 52m,Animation
66. The Night Before Christmas in Wonderland,6.3, (521),1h 20m,Animation
67. Lesbian Space Princess,7.2, (143),1h 27m,Animation
68. Detective Conan: The Million-Dollar Pentagram,6.7, (1.5K),1h 51m,Animation
69. Terra Incognita 1901,7.0, (35),1h 18m,Animation
70. The Quintessential Quintuplets Specials 2,7.1, (138),46m,Animation
71. Ryan's World the Movie: Titan Universe Adventure,1.8, (698),1h 20m,Animation
72. Rebellious,6.0, (200),1h 34m,Animation
73. Big City Greens the Movie: Spacecation,6.2, (547),1h 23m,Animation
74. Mobile Suit Gundam SEED Freedom,6.6, (959),2h 4m,Animation
75. Noah's Ark,4.3, (671),1h 36m,Animation
76. TWST: Things We Said Today,7.0, (54),1h 26m,Animation
77. Re: Zero - Starting Life in Another World- Season 3 Episode 1 90-minute Special 'Theatrical Malice',8.7, (1.2K),1h 30m,Animation
78. A Sloth Story,5.6, (210),1h 30m,Animation
79. Kizumonogatari: Koyomi Vamp,7.1, (96),2h 24m,Animation
80. Diplodocus,6.3, (183),1h 30m,Animation
81. Panda Bear in Africa,5.5, (352),1h 24m,Animation
82. Fox & Hare Save the Forest,5.9, (204),1h 11m,Animation
83. Bloody Escape: Bats out of Hell,5.4, (55),1h 40m,Animation
84. No Time to Spy: A Loud House Movie,6.4, (459),1h 21m,Animation
85. Savages,6.8, (348),1h 27m,Animation
86. Dongeng Sang Kancil,6.8, (185),1h 39m,Animation
87. The Summer of Mermaid,8.5, (106),,Animation
88. Little Emma,6.0, (116),1h 46m,Animation
89. The Proud Princess,6.5, (120),1h 24m,Animation
