Title,Rating,Votes,Duration,Genre
1. Mufasa: The Lion King,6.6, (66K),1h 58m,Family
2. Flow,7.9, (77K),1h 25m,Family
3. Moana 2,6.6, (104K),1h 40m,Family
4. Sonic the Hedgehog 3,6.9, (61K),1h 50m,Family
5. Paddington in Peru,6.7, (22K),1h 46m,Family
6. Transformers One,7.6, (51K),1h 44m,Family
7. Inside Out 2,7.5, (218K),1h 36m,Family
8. Despicable Me 4,6.2, (66K),1h 34m,Family
9. The Day the Earth Blew Up: A Looney Tunes Movie,7.0, (4.6K),1h 31m,Family
10. How to Make Millions Before Grandma Dies,8.0, (15K),2h 5m,Family
11. IF,6.4, (58K),1h 44m,Family
12. Kung Fu Panda 4,6.3, (69K),1h 34m,Family
13. Descendants: The Rise of Red,4.7, (7.1K),1h 31m,Family
14. The Garfield Movie,5.7, (24K),1h 41m,Family
15. Young Hearts,8.0, (4.9K),1h 39m,Family
16. My Penguin Friend,6.8, (5.4K),1h 37m,Family
17. Harold and the Purple Crayon,5.7, (8.5K),1h 30m,Family
18. Wallace & Gromit: Vengeance Most Fowl,7.5, (35K),1h 22m,Family
19. Spellbound,5.5, (7.5K),1h 49m,Family
20. The Forge,6.7, (5K),2h 4m,Family
21. Véletlenül írtam egy könyvet,7.5, (491),1h 38m,Family
22. Piece by Piece,6.9, (5.5K),1h 33m,Family
23. Meiyazhagan,8.4, (14K),2h 57m,Family
24. Unsung Hero,7.0, (5.1K),1h 53m,Family
25. Hitpig,5.1, (982),1h 26m,Family
26. Orion and the Dark,6.3, (17K),1h 33m,Family
27. Megamind vs. The Doom Syndicate,2.5, (5.6K),1h 23m,Family
28. Bambi: A Tale of Life in the Woods,5.7, (191),1h 18m,Family
29. Woody Woodpecker Goes to Camp,4.5, (2.6K),1h 40m,Family
30. Thelma the Unicorn,5.7, (3K),1h 33m,Family
31. Doraemon the Movie: Nobita's Earth Symphony,6.6, (1.5K),1h 55m,Family
32. Faith of Angels,5.8, (246),1h 38m,Family
33. 2nd Miracle in Cell No. 7,7.7, (283),2h 27m,Family
34. You Gotta Believe,5.8, (1.3K),1h 44m,Family
35. That Christmas,6.8, (17K),1h 31m,Family
36. The Thundermans Return,5.0, (1.9K),1h 10m,Family
37. Buffalo Kids,6.6, (712),1h 33m,Family
38. Crayon Shin-chan: Ora's Dinosaur Diary,6.4, (375),1h 46m,Family
39. Ultraman: Rising,6.9, (6.4K),1h 57m,Family
40. The Tiger's Apprentice,5.7, (2.2K),1h 24m,Family
41. Not Just a Goof,7.7, (363),1h 27m,Family
42. Big World,7.3, (1.3K),2h 11m,Family
43. Panda Plan,5.1, (1.3K),1h 39m,Family
44. Bibi Rajni,8.5, (723),2h 23m,Family
45. Saving Bikini Bottom: The Sandy Cheeks Movie,3.7, (3.9K),1h 22m,Family
46. A Carpenter's Prayer,6.3, (107),1h 31m,Family
47. A Brother and 7 Siblings,8.6, (1.2K),2h 9m,Family
48. 10 Lives,5.9, (1.9K),1h 28m,Family
49. 200% Wolf,5.9, (1.3K),1h 38m,Family
50. And the Breadwinner Is...,6.7, (269),2h 3m,Family
51. Cup,8.6, (75),2h 26m,Family
52. Average Joe,4.3, (582),1h 40m,Family
53. Man and Witch: The Dance of a Thousand Steps,5.5, (335),1h 34m,Family
54. Super-Charlie,5.8, (135),1h 20m,Family
55. Dalia y el Libro Rojo,6.5, (100),1h 47m,Family
56. Woodwalkers,5.3, (456),1h 43m,Family
57. Autumn and the Black Jaguar,5.6, (1K),1h 40m,Family
58. Believe in Christmas,6.1, (831),1h 30m,Family
59. Runt,6.4, (537),1h 31m,Family
60. Gharat Ganpati,7.8, (505),2h 19m,Family
61. My Oni Girl,6.0, (1.8K),1h 52m,Family
62. The Night Before Christmas in Wonderland,6.3, (521),1h 20m,Family
63. The Groomsmen: First Look,6.2, (393),1h 22m,Family
64. Rajakili,6.8, (593),2h 2m,Family
65. Chuck Billy and the Marvelous Guava Tree,7.4, (1.1K),1h 30m,Family
66. Robin and the Hoods,4.3, (513),1h 40m,Family
67. The Magician's Raincoat,5.5, (114),,Family
68. Ryan's World the Movie: Titan Universe Adventure,1.8, (698),1h 20m,Family
69. My Eyes,3.2, (18),,Family
70. Rebellious,6.0, (200),1h 34m,Family
71. Big City Greens the Movie: Spacecation,6.2, (547),1h 23m,Family
72. A Sudden Case of Christmas,5.1, (1.1K),1h 31m,Family
73. Noah's Ark,4.3, (671),1h 36m,Family
74. A Sloth Story,5.6, (210),1h 30m,Family
75. Home Sweet Loan,8.1, (966),1h 52m,Family
76. Chicken Coop,5.9, (89),1h 38m,Family
77. Diplodocus,6.3, (183),1h 30m,Family
78. Disaster Holiday,4.8, (714),1h 33m,Family
79. Panda Bear in Africa,5.5, (352),1h 24m,Family
80. Der Buchspazierer,7.3, (407),1h 38m,Family
81. Fear,8.4, (2.8K),1h 55m,Family
82. No Time to Spy: A Loud House Movie,6.4, (459),1h 21m,Family
83. Rally Caps,5.6, (140),1h 40m,Family
84. Savages,6.8, (348),1h 27m,Family
85. Dongeng Sang Kancil,6.8, (185),1h 39m,Family
86. Return to Wickensburg,5.0, (32),1h 28m,Family
87. Guest from the Future,6.0, (1.2K),2h 21m,Family
88. School of Magical Animals 3,5.8, (320),1h 45m,Family
89. Paper Flowers,8.8, (34),1h 40m,Family
90. Dog Days,6.7, (318),2h,Family
91. Like a Rolling Stone,7.7, (465),1h 46m,Family
92. Little Emma,6.0, (116),1h 46m,Family
93. The Neon Highway,6.0, (493),1h 53m,Family
94. The Proud Princess,6.5, (120),1h 24m,Family
95. Brewster's Millions: Christmas,5.6, (191),1h 40m,Family
96. Treasure Trackers,5.8, (164),1h 32m,Family
97. The Big Trip 3: Race Around the World,5.6, (63),1h 25m,Family
98. Kid Santa,,,,Family
99. Marry Christmas,6.6, (62),1h 25m,Family
100. My Freaky Family,6.3, (411),1h 26m,Family
101. The Snow Sister,7.0, (2.1K),1h 36m,Family
102. A Nashville Wish,5.7, (93),1h 42m,Family
103. Kvitebjørn,6.0, (67),1h 25m,Family
104. Lucy and the Lake Monster,9.0, (34),,Family
105. Depth of Field,8.5, (33),,Family
"106. Die Heinzels: Neue Mützen, Neue Mission",6.4, (94),1h 16m,Family
107. Rajkumar,7.4, (2.7K),2h 25m,Family
108. Going Viral,6.9, (53),1h 30m,Family
109. The Land of Morning Calm,6.5, (35),1h 53m,Family
110. Ghost Cat Anzu,6.5, (789),1h 37m,Family
111. Gracie and Pedro: Pets to the Rescue,5.1, (278),1h 27m,Family
112. Ole Aale,8.7, (409),2h 22m,Family
113. G for Gap,7.1, (565),1h 43m,Family
114. Brother,6.2, (2.3K),2h 20m,Family
115. Ghudchadi,4.2, (559),1h 53m,Family
116. Si Juki the Movie: Harta Pulau Monyet,6.0, (124),1h 47m,Family
117. Domovyonok Kuzya,6.5, (828),1h 30m,Family
118. Living Large,7.0, (133),1h 20m,Family
119. Nanak Naam Jahaz Hai,9.9, (13),2h 20m,Family
"120. Maya, donne-moi un titre",6.4, (55),1h 1m,Family
121. Father There is Only One 4,5.2, (622),1h 30m,Family
122. The Adventures of Jurassic Pet: Return to the Wild,5.4, (65),1h 30m,Family
123. The Primrose Railway Children,5.0, (144),1h 21m,Family
124. Dance Rivals,6.0, (71),1h 33m,Family
125. The Casagrandes Movie,5.6, (674),1h 29m,Family
126. Hashtag Tadev lagnam,6.5, (147),1h 58m,Family
127. Juliette au printemps,6.4, (265),1h 35m,Family
128. Kattis Gang,5.6, (419),2h 24m,Family
129. Storm Crashers,6.2, (568),1h 28m,Family
130. Victoria må dø,5.9, (366),1h 25m,Family
131. Saint Nick of Bethlehem,9.2, (101),1h 33m,Family
132. The Lost Tiger,7.9, (46),1h 30m,Family
133. Ivan Tsarevich i Seryy Volk 6,5.6, (90),,Family
134. My Private Line to God,6.9, (85),,Family
135. Grrr...,4.0, (821),2h 1m,Family
136. Elli and the Ghostly Ghost Train,5.1, (104),1h 26m,Family
137. Niko: Beyond the Northern Lights,6.2, (339),1h 26m,Family
138. Obraz,7.6, (19),1h 35m,Family
139. Singapore Saloon,6.0, (1.2K),2h 17m,Family
140. Heartsping : Teenieping of Love,7.0, (25),TV-Y,Family
141. Chitra,8.4, (7),2h 5m,Family
142. LasseMajas detektivbyrå - Maskoten som försvann,6.0, (61),1h 30m,Family
143. Mountain Boy,8.4, (27),1h 33m,Family
144. 14 Days Love,6.9, (11),1h 52m,Family
145. Sabari,6.5, (5.4K),2h 9m,Family
146. Dedh Bigha Zameen,6.9, (755),1h 40m,Family
147. Zak & Wowo: The Legend of Lendarys,5.7, (102),1h 25m,Family
148. Hope,5.5, (40),,Family
149. Bila Esok Ibu Tiada,6.7, (331),1h 44m,Family
150. Grüsse vom Mars,7.5, (32),1h 25m,Family
151. Magic Beach,5.5, (58),1h 20m,Family
152. SuperKlaus,4.3, (204),1h 28m,Family
153. Sunny,7.2, (31),2h 2m,Family
154. Børnene fra Sølvgade,7.6, (99),1h 42m,Family
155. Stinky Summer,5.6, (51),1h 30m,Family
156. Peppa's Cinema Party,4.9, (155),1h 5m,Family
157. Juf Braaksel en de Geniale Ontsnapping,4.1, (56),1h 23m,Family
158. Daaru Na Peenda Hove,7.6, (2.3K),1h 51m,Family
159. Babah,6.7, (172),2h 9m,Family
160. Letuchiy korabl,3.8, (300),1h 40m,Family
161. Kardes Takimi,3.5, (558),1h 35m,Family
162. Christmas Carole,4.2, (97),1h 33m,Family
163. Carol,8.3, (48),1h 55m,Family
164. My Redneck Neighbor: Chapter 2 - Let the Games Begin,,,55m,Family
165. The Legend of Catclaws Mountain,3.4, (172),1h 44m,Family
166. Superkrachten voor je hoofd,7.3, (198),1h 32m,Family
167. Mr. Santa: A Christmas Extravaganza,8.4, (18),1h 38m,Family
168. Bayramlik,4.8, (52),1h 54m,Family
169. Super papa,5.2, (123),1h 30m,Family
170. Skelly,5.4, (93),1h 25m,Family
171. Oru Kadha Parayum Neram,9.3, (338),,Family
172. Too Old for Fairy Tales 2,4.9, (407),1h 35m,Family
173. Luigi's Mansion,6.2, (17),1h,Family
174. A Hero's Journey: The Making of Percy Jackson and the Olympians,7.4, (251),50m,Family
175. Dikkie Dik 2: Een Nieuwe Vriend voor Dikkie Dik,7.4, (72),1h 10m,Family
176. Little Town,6.8, (11),1h 30m,Family
177. Thookudurai,4.3, (2.3K),2h 5m,Family
178. Krispy Rishtey,6.5, (70),2h 13m,Family
179. Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,7.1, (22),1h 30m,Family
180. Khusma,8.5, (38),,Family
"181. Akiko, der fliegende Affe",8.2, (16),1h 10m,Family
182. Daye: Seret ahl el Daye,7.9, (18),1h 44m,Family
183. Masha i Medved v kino: Park chudes,7.7, (18),58m,Family
184. Aanandhapuram Diaries,7.0, (2.5K),1h 55m,Family
185. Captain Avispa,5.8, (179),1h 36m,Family
186. Lokshahi,8.0, (15),,Family
187. Yolki 11,4.7, (172),1h 32m,Family
188. De Bellinga's: Pretpark op stelten,3.1, (128),1h 10m,Family
189. Vishesham,6.7, (1.4K),2h 16m,Family
