Title,Rating,Votes,Duration,Genre
1. Nosferatu,7.2, (197K),2h 12m,Fantasy
2. Wicked,7.5, (160K),2h 40m,Fantasy
3. Mufasa: The Lion King,6.6, (66K),1h 58m,Fantasy
4. Flow,7.9, (77K),1h 25m,Fantasy
5. Moana 2,6.6, (104K),1h 40m,Fantasy
6. Sonic the Hedgehog 3,6.9, (61K),1h 50m,Fantasy
7. Parthenope,6.6, (12K),2h 17m,Fantasy
8. The Life of Chuck,7.5, (630),1h 50m,Fantasy
9. Megalopolis,4.7, (36K),2h 18m,Fantasy
10. Better Man,7.6, (28K),2h 15m,Fantasy
11. Beetlejuice Beetlejuice,6.6, (148K),1h 45m,Fantasy
12. Transformers One,7.6, (51K),1h 44m,Fantasy
13. Inside Out 2,7.5, (218K),1h 36m,Fantasy
14. IF,6.4, (58K),1h 44m,Fantasy
15. The Lord of the Rings: The War of the Rohirrim,6.3, (31K),2h 14m,Fantasy
16. The Crow,4.7, (35K),1h 51m,Fantasy
17. Red One,6.3, (140K),2h 3m,Fantasy
18. The Watchers,5.7, (57K),1h 42m,Fantasy
19. Godzilla x Kong: The New Empire,6.0, (122K),1h 55m,Fantasy
20. Damsel,6.1, (110K),1h 50m,Fantasy
21. Ghostbusters: Frozen Empire,6.1, (94K),1h 55m,Fantasy
22. Kung Fu Panda 4,6.3, (69K),1h 34m,Fantasy
23. Uglies,4.7, (33K),1h 40m,Fantasy
24. Solo Leveling: ReAwakening,8.8, (13K),2h 1m,Fantasy
25. The End,5.5, (2K),2h 28m,Fantasy
26. Descendants: The Rise of Red,4.7, (7.1K),1h 31m,Fantasy
27. The Garfield Movie,5.7, (24K),1h 41m,Fantasy
28. Harold and the Purple Crayon,5.7, (8.5K),1h 30m,Fantasy
29. Spellbound,5.5, (7.5K),1h 49m,Fantasy
30. Tim Travers & the Time Travelers Paradox,6.8, (285),1h 35m,Fantasy
31. Kalki 2898 AD,7.0, (67K),3h,Fantasy
32. Girl Haunts Boy,6.3, (3.1K),1h 40m,Fantasy
33. Rebel Moon - Part Two: The Scargiver,5.3, (59K),2h 2m,Fantasy
34. The Balconettes,6.0, (1.1K),1h 44m,Fantasy
35. The Wonderful Story of Henry Sugar and Three More,7.1, (7K),1h 28m,Fantasy
36. Monster Summer,5.7, (3.8K),1h 37m,Fantasy
37. The Tearsmith,5.2, (12K),1h 43m,Fantasy
38. Un cuento de pescadores,6.5, (84),1h 43m,Fantasy
39. Orion and the Dark,6.3, (17K),1h 33m,Fantasy
40. Family Pack,5.5, (9.2K),1h 34m,Fantasy
41. The Best Christmas Pageant Ever,6.8, (6.2K),1h 39m,Fantasy
42. Mars,7.9, (23),1h 24m,Fantasy
43. Dear Santa,5.4, (19K),1h 47m,Fantasy
44. Pedro Páramo,6.3, (3K),2h 10m,Fantasy
45. Woody Woodpecker Goes to Camp,4.5, (2.6K),1h 40m,Fantasy
46. The American Society of Magical Negroes,3.7, (12K),1h 44m,Fantasy
47. Irish Wish,5.2, (22K),1h 33m,Fantasy
48. Thelma the Unicorn,5.7, (3K),1h 33m,Fantasy
49. Justice League: Crisis on Infinite Earths - Part One,6.2, (8.5K),1h 33m,Fantasy
50. Doraemon the Movie: Nobita's Earth Symphony,6.6, (1.5K),1h 55m,Fantasy
51. Overlord: The Sacred Kingdom,6.9, (1.2K),2h 15m,Fantasy
52. This Is Me... Now,4.1, (7.2K),1h 5m,Fantasy
53. That Christmas,6.8, (17K),1h 31m,Fantasy
54. Hagen,6.0, (1.3K),2h 19m,Fantasy
55. Hot Frosty,5.3, (15K),1h 32m,Fantasy
56. Justice League: Crisis on Infinite Earths - Part Three,6.1, (4.6K),1h 34m,Fantasy
57. The Thundermans Return,5.0, (1.9K),1h 10m,Fantasy
58. Sketch,8.2, (56),1h 32m,Fantasy
59. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1, (8.6K),1h 44m,Fantasy
60. Buffalo Kids,6.6, (712),1h 33m,Fantasy
61. Bhool Bhulaiyaa 3,4.6, (78K),2h 38m,Fantasy
62. Ultraman: Rising,6.9, (6.4K),1h 57m,Fantasy
63. Dan Da Dan: First Encounter,8.2, (2.8K),1h 23m,Fantasy
64. The Tiger's Apprentice,5.7, (2.2K),1h 24m,Fantasy
65. Dragonkeeper,5.7, (1.7K),1h 38m,Fantasy
66. Kanguva,4.5, (15K),2h 32m,Fantasy
67. Alienoid: The Return to the Future,6.5, (2.6K),2h 2m,Fantasy
68. Cinderella's Revenge,3.7, (1.1K),1h 25m,Fantasy
69. Saving Bikini Bottom: The Sandy Cheeks Movie,3.7, (3.9K),1h 22m,Fantasy
70. Cinderella's Curse,3.3, (1.3K),1h 22m,Fantasy
71. Hanu Man,7.7, (29K),2h 38m,Fantasy
72. Justice League: Crisis on Infinite Earths - Part Two,5.5, (5.4K),1h 34m,Fantasy
73. The Invisibles,5.8, (475),1h 51m,Fantasy
74. Unspeakable: Beyond the Wall of Sleep,6.1, (55),1h 30m,Fantasy
75. Seven Cemeteries,4.6, (629),1h 24m,Fantasy
76. Thangalaan,6.6, (6.7K),2h 36m,Fantasy
77. 10 Lives,5.9, (1.9K),1h 28m,Fantasy
78. The Sand Castle,4.7, (1.7K),1h 38m,Fantasy
79. Harry Potter and the Stone,7.8, (170),2h 32m,Fantasy
80. Cells at Work!,6.7, (282),1h 49m,Fantasy
81. The Opera!,6.4, (104),1h 46m,Fantasy
82. 200% Wolf,5.9, (1.3K),1h 38m,Fantasy
83. The Ballad of Hortensia,6.7, (138),1h 34m,Fantasy
84. Angels Fallen: Warriors of Peace,4.9, (5.8K),1h 43m,Fantasy
85. Timestalker,5.5, (3K),1h 29m,Fantasy
86. A.R.M,7.1, (8.8K),2h 30m,Fantasy
87. Man and Witch: The Dance of a Thousand Steps,5.5, (335),1h 34m,Fantasy
88. Super-Charlie,5.8, (135),1h 20m,Fantasy
89. Dalia y el Libro Rojo,6.5, (100),1h 47m,Fantasy
90. Woodwalkers,5.3, (456),1h 43m,Fantasy
91. Devil's Knight,5.3, (914),1h 30m,Fantasy
92. Mononoke the Movie: The Phantom in the Rain,6.8, (1.3K),1h 29m,Fantasy
93. ¿Quién es quién?,5.4, (195),1h 35m,Fantasy
94. A Dog's Will 2,6.2, (3K),1h 44m,Fantasy
95. My Oni Girl,6.0, (1.8K),1h 52m,Fantasy
96. Else,6.0, (246),1h 42m,Fantasy
97. Chantal in Fairyland,4.6, (2.7K),1h 58m,Fantasy
98. My Future You,8.4, (58),1h 49m,Fantasy
99. The Night Before Christmas in Wonderland,6.3, (521),1h 20m,Fantasy
100. Lesbian Space Princess,7.2, (143),1h 27m,Fantasy
101. The Sleeping Woman,5.2, (573),1h 50m,Fantasy
102. Robin and the Hoods,4.3, (513),1h 40m,Fantasy
103. The Magician's Raincoat,5.5, (114),,Fantasy
104. Ryan's World the Movie: Titan Universe Adventure,1.8, (698),1h 20m,Fantasy
105. Nonostante,6.1, (169),1h 33m,Fantasy
106. Balestra,5.1, (530),2h 25m,Fantasy
107. Rebellious,6.0, (200),1h 34m,Fantasy
108. Big City Greens the Movie: Spacecation,6.2, (547),1h 23m,Fantasy
109. The Keepers of the 5 Kingdoms,4.0, (221),1h 49m,Fantasy
110. Oshi no Ko: The Final Act,6.6, (139),2h 9m,Fantasy
111. The Witch: Revenge,5.3, (832),1h 40m,Fantasy
112. Diplodocus,6.3, (183),1h 30m,Fantasy
113. Gaami,6.4, (2K),2h 27m,Fantasy
114. Panda Bear in Africa,5.5, (352),1h 24m,Fantasy
115. Vincent,7.1, (54),1h 32m,Fantasy
116. Mayan,8.7, (132),1h 53m,Fantasy
117. Dongeng Sang Kancil,6.8, (185),1h 39m,Fantasy
"118. Love, Danielle",8.8, (42),1h 19m,Fantasy
119. School of Magical Animals 3,5.8, (320),1h 45m,Fantasy
120. Seven Seas Seven Hills,8.7, (91),1h 30m,Fantasy
121. The Proud Princess,6.5, (120),1h 24m,Fantasy
122. White Snake: Afloat,6.9, (488),2h 13m,Fantasy
123. Hanami,6.7, (103),1h 36m,Fantasy
124. Witch,4.9, (1.4K),1h 47m,Fantasy
125. The Phantom Warrior,2.4, (555),1h 59m,Fantasy
"126. Die Heinzels: Neue Mützen, Neue Mission",6.4, (94),1h 16m,Fantasy
127. Into the Mortal World,6.8, (157),1h 58m,Fantasy
128. The Fisherman,7.2, (44),1h 45m,Fantasy
129. Witch Hunter,5.3, (24),1h 20m,Fantasy
130. Ghost Cat Anzu,6.5, (789),1h 37m,Fantasy
131. The Yin Yang Master Zero,5.7, (276),1h 52m,Fantasy
132. Si Juki the Movie: Harta Pulau Monyet,6.0, (124),1h 47m,Fantasy
133. Domovyonok Kuzya,6.5, (828),1h 30m,Fantasy
134. King Baby,7.0, (26),1h 28m,Fantasy
"135. Maya, donne-moi un titre",6.4, (55),1h 1m,Fantasy
136. Phallacies,,,1h 41m,Fantasy
137. Barroz: Guardian of Treasures,3.5, (1K),2h 35m,Fantasy
138. The Casagrandes Movie,5.6, (674),1h 29m,Fantasy
139. STEVE (A Minecraft Movie),6.9, (12),1h 1m,Fantasy
140. Assassin's Guild,2.9, (125),1h 43m,Fantasy
141. Vidente por Acidente,4.9, (75),1h 33m,Fantasy
142. Warchief,2.5, (610),1h 34m,Fantasy
143. The Evil Fairy Queen,5.3, (53),1h 30m,Fantasy
144. The Slave and the Sorcerer,6.7, (41),1h 26m,Fantasy
145. The Epidemic,5.7, (72),1h 35m,Fantasy
146. The Lost Tiger,7.9, (46),1h 30m,Fantasy
147. Ebenezer: The Traveler,3.5, (145),1h 42m,Fantasy
148. Schneewittchen,4.7, (9),1h 10m,Fantasy
149. UmroAyyar - A New Beginning,6.9, (675),2h 15m,Fantasy
150. Shrek 5: The Contract - A Fan Made Film,7.0, (19),1h 24m,Fantasy
151. Elli and the Ghostly Ghost Train,5.1, (104),1h 26m,Fantasy
152. The Sisters,4.7, (154),2h 2m,Fantasy
153. Niko: Beyond the Northern Lights,6.2, (339),1h 26m,Fantasy
154. Heartsping : Teenieping of Love,7.0, (25),TV-Y,Fantasy
155. Nyctophobia,7.5, (1.8K),1h 30m,Fantasy
156. The Traveller,5.2, (210),2h 14m,Fantasy
157. We Work for the Dead,6.6, (511),1h 24m,Fantasy
158. The Time Travel Hills,5.0, (76),1h 22m,Fantasy
159. Fureru,6.2, (36),1h 47m,Fantasy
160. Intercambiadas,6.3, (60),1h 37m,Fantasy
161. Princesa Adormecida,3.9, (169),1h 20m,Fantasy
162. Zak & Wowo: The Legend of Lendarys,5.7, (102),1h 25m,Fantasy
163. Mother Maker Lover Taker,5.9, (34),1h 39m,Fantasy
164. Enchanting Christmas,6.3, (357),1h 31m,Fantasy
165. SuperKlaus,4.3, (204),1h 28m,Fantasy
166. A Trip Elsewhere,5.6, (107),1h 33m,Fantasy
167. Perfect Blue,7.5, (6),,Fantasy
168. Rita,5.8, (275),1h 47m,Fantasy
169. Two Breaths,8.1, (33),18m,Fantasy
170. All In,5.6, (86),1h 43m,Fantasy
171. Saint Young Men: Holy Men vs Demon Army,3.0, (14),1h 33m,Fantasy
172. Letuchiy korabl,3.8, (300),1h 40m,Fantasy
173. Carol,8.3, (48),1h 55m,Fantasy
"174. Don't Cry, Butterfly",6.4, (120),1h 37m,Fantasy
175. Hold Me Close,7.3, (15),1h 38m,Fantasy
176. Witchy Ways,6.6, (39),,Fantasy
177. My Redneck Neighbor: Chapter 2 - Let the Games Begin,,,55m,Fantasy
178. The Seductress from Hell,6.7, (18),1h 42m,Fantasy
179. Last Song for You,7.3, (100),1h 46m,Fantasy
180. Sureshinteyum Sumalathayudeyum Hridayahariyaya Pranayakatha,6.0, (85),2h 18m,Fantasy
181. Videotheque,6.2, (102),1h 52m,Fantasy
182. Dragon Ball Z Kai,8.5, (73),1h 22m,Fantasy
183. Malaikottai Vaaliban,6.0, (4.2K),2h 36m,Fantasy
184. Pechi,5.5, (1.5K),1h 50m,Fantasy
