Title,Rating,Votes,Duration,Genre
1. Nosferatu,7.2, (197K),2h 12m,Horror
2. The Substance,7.3, (303K),2h 21m,Horror
3. Heretic,7.0, (142K),1h 51m,Horror
4. Trap,5.8, (140K),1h 45m,Horror
5. Speak No Evil,6.8, (101K),1h 50m,Horror
6. Alien: Romulus,7.1, (247K),1h 59m,Horror
7. Smile 2,6.7, (107K),2h 7m,Horror
8. Longlegs,6.6, (187K),1h 41m,Horror
9. The Shrouds,6.0, (2K),2h,Horror
10. Azrael,5.4, (11K),1h 26m,Horror
11. MaXXXine,6.2, (71K),1h 43m,Horror
12. Presence,6.1, (23K),1h 24m,Horror
13. Terrifier 3,6.3, (49K),2h 5m,Horror
14. Abigail,6.5, (98K),1h 49m,Horror
15. Y2K,4.8, (15K),1h 31m,Horror
16. Oddity,6.7, (44K),1h 38m,Horror
17. Beetlejuice Beetlejuice,6.6, (148K),1h 45m,Horror
18. Frewaka,6.2, (761),1h 43m,Horror
19. Kinds of Kindness,6.5, (60K),2h 44m,Horror
20. The Rule of Jenny Pen,6.2, (4.6K),1h 44m,Horror
21. Die Alone,5.7, (3.3K),1h 30m,Horror
22. Salem's Lot,5.6, (34K),1h 54m,Horror
23. In a Violent Nature,5.6, (26K),1h 34m,Horror
24. Dead Mail,6.0, (1.4K),1h 46m,Horror
25. MadS,6.4, (8K),1h 29m,Horror
26. A Quiet Place: Day One,6.3, (151K),1h 39m,Horror
27. The Crow,4.7, (35K),1h 51m,Horror
28. Nightbitch,5.5, (20K),1h 39m,Horror
29. The Watchers,5.7, (57K),1h 42m,Horror
30. Time Cut,5.0, (19K),1h 31m,Horror
31. Werewolves,4.4, (6.9K),1h 33m,Horror
32. Hellboy: The Crooked Man,4.5, (14K),1h 39m,Horror
33. Immaculate,5.8, (53K),1h 29m,Horror
34. Don't Move,5.8, (39K),1h 32m,Horror
35. Cuckoo,5.7, (27K),1h 42m,Horror
36. The Painted,4.8, (816),1h 25m,Horror
37. Never Let Go,5.4, (15K),1h 41m,Horror
38. Arcadian,5.5, (23K),1h 32m,Horror
39. The Beast Within,4.3, (4.8K),1h 37m,Horror
40. The First Omen,6.5, (64K),1h 59m,Horror
41. Apartment 7A,5.9, (17K),1h 47m,Horror
42. Bagman,4.6, (5.6K),1h 33m,Horror
43. The Deliverance,5.1, (23K),1h 52m,Horror
44. The Damned,5.7, (4.2K),1h 29m,Horror
45. Tarot,4.8, (32K),1h 32m,Horror
46. Succubus,4.6, (1.3K),1h 43m,Horror
47. Apocalypse Z: The Beginning of the End,6.1, (20K),1h 57m,Horror
48. Exhuma,6.9, (24K),2h 14m,Horror
49. Under Paris,5.2, (36K),1h 44m,Horror
50. Get Away,5.3, (7K),1h 26m,Horror
51. Your Monster,6.4, (5.9K),1h 43m,Horror
52. Rumours,5.0, (4.7K),1h 44m,Horror
53. The Strangers: Chapter 1,4.6, (23K),1h 31m,Horror
54. Afraid,5.2, (14K),1h 24m,Horror
55. Stream,5.9, (8.7K),2h 3m,Horror
56. Winnie-the-Pooh: Blood and Honey 2,4.7, (11K),1h 33m,Horror
57. The Balconettes,6.0, (1.1K),1h 44m,Horror
58. Lisa Frankenstein,6.1, (28K),1h 41m,Horror
59. Drive Back,4.5, (490),1h 34m,Horror
60. The Devil's Bath,6.6, (6.4K),2h 1m,Horror
61. I Don't Understand You,6.8, (88),1h 36m,Horror
62. Night Swim,4.7, (27K),1h 38m,Horror
63. Night of the Zoopocalypse,6.0, (739),1h 31m,Horror
64. Sting,5.7, (16K),1h 31m,Horror
65. Saint Catherine,4.3, (119),1h 26m,Horror
66. Chime,6.4, (2.4K),45m,Horror
67. The Killgrin,6.9, (43),1h 23m,Horror
68. A Desert,6.3, (175),1h 43m,Horror
69. Blackwater Lane,4.6, (2.1K),1h 48m,Horror
70. The Platform 2,4.9, (40K),1h 39m,Horror
71. Witchboard,7.5, (97),1h 55m,Horror
72. Daddy's Head,5.6, (5.2K),1h 32m,Horror
73. Dead Talents Society,7.0, (2.1K),1h 51m,Horror
74. The Mouse Trap,2.4, (3.4K),1h 20m,Horror
75. The Corpse Washer,6.2, (1.2K),1h 47m,Horror
76. Here After,4.1, (1.5K),1h 33m,Horror
77. The Inheritance,4.7, (2.9K),1h 25m,Horror
78. Grafted,5.6, (2.4K),1h 36m,Horror
79. Humane,5.5, (7.3K),1h 33m,Horror
80. We Bury the Dead,7.2, (113),1h 34m,Horror
81. Frankie Freako,5.6, (1.2K),1h 25m,Horror
82. Un cuento de pescadores,6.5, (84),1h 43m,Horror
83. Outside,5.1, (4.6K),2h 22m,Horror
84. The Last Breath,4.7, (2.2K),1h 36m,Horror
85. V/H/S/Beyond,5.8, (9.5K),1h 54m,Horror
86. Stree 2: Sarkate Ka Aatank,6.9, (42K),2h 27m,Horror
87. Imaginary,4.7, (17K),1h 44m,Horror
88. A Sacrifice,5.0, (5.3K),1h 34m,Horror
89. The Exorcism,4.2, (11K),1h 35m,Horror
90. Hold Your Breath,5.3, (8.7K),1h 34m,Horror
91. The Haunted Apartment: Miss K,6.3, (111),1h 43m,Horror
92. Cloud,6.3, (1.3K),2h 4m,Horror
93. Sumala,5.8, (1K),1h 52m,Horror
94. Things Will Be Different,5.2, (2.6K),1h 42m,Horror
95. Lowlifes,6.2, (6.5K),1h 30m,Horror
96. Blood Star,6.2, (4.6K),1h 37m,Horror
97. Something in the Water,4.1, (4.8K),1h 26m,Horror
98. Lembayung,5.9, (737),2h 3m,Horror
99. The Front Room,4.6, (5.4K),1h 34m,Horror
100. Pedro Páramo,6.3, (3K),2h 10m,Horror
101. Year 10,5.4, (1.9K),1h 36m,Horror
102. The Bunker,4.3, (283),1h 32m,Horror
103. Munjya,6.3, (26K),2h 3m,Horror
104. The Waves of Madness,6.1, (74),1h 8m,Horror
105. Handling the Undead,5.3, (4.4K),1h 37m,Horror
106. Desert Fiends,7.8, (616),1h 46m,Horror
107. They Call Her Death,6.6, (51),1h 32m,Horror
108. Bloody Axe Wound,5.0, (892),1h 23m,Horror
109. Turno Nocturno,5.3, (590),1h 47m,Horror
110. Shelby Oaks,5.9, (247),1h 39m,Horror
111. The Soul Eater,5.9, (2.7K),1h 48m,Horror
112. Shell,6.7, (72),1h 40m,Horror
113. The Stalking,3.6, (44),1h 12m,Horror
114. Bramayugam,7.8, (14K),2h 19m,Horror
115. Sketch,8.2, (56),1h 32m,Horror
116. Sorop,5.3, (133),1h 43m,Horror
117. Out Come the Wolves,4.7, (1.5K),1h 26m,Horror
118. A Herança,5.5, (180),1h 20m,Horror
119. Little Bites,4.6, (1.3K),1h 45m,Horror
120. The Radleys,5.0, (2.8K),1h 55m,Horror
121. Bhool Bhulaiyaa 3,4.6, (78K),2h 38m,Horror
122. Dan Da Dan: First Encounter,8.2, (2.8K),1h 23m,Horror
123. Shaitaan,6.5, (54K),2h 12m,Horror
124. Believer,4.6, (402),1h 48m,Horror
125. The Wailing,6.1, (1.2K),1h 47m,Horror
126. Death Whisperer 2,6.4, (1.4K),1h 50m,Horror
127. #MissingCouple,5.3, (584),1h 33m,Horror
128. Outbreak,4.4, (857),1h 28m,Horror
129. Crescent City,3.9, (1.4K),1h 43m,Horror
130. Kryptic,6.3, (101),1h 36m,Horror
131. Butchers Book Two: Raghorn,4.1, (604),1h 28m,Horror
132. Hell Hole,4.4, (1.3K),1h 32m,Horror
133. Spin the Bottle,3.5, (964),2h 4m,Horror
134. Queen of Bones,4.9, (216),1h 30m,Horror
135. Latency,4.2, (2.8K),1h 34m,Horror
136. Carved,4.4, (2.8K),1h 35m,Horror
137. The Severed Sun,6.6, (46),1h 20m,Horror
138. House of Spoils,5.0, (3.9K),1h 41m,Horror
139. Mr. Crocket,5.4, (4.6K),1h 28m,Horror
140. River of Blood,5.1, (1.8K),1h 26m,Horror
141. Unnatural,3.7, (131),1h 43m,Horror
142. Milk & Serial,6.6, (2.5K),1h 2m,Horror
143. Love Me Dead,6.6, (40),1h 27m,Horror
144. Grave Torture,6.2, (2.9K),1h 57m,Horror
145. The Curse of the Necklace,4.5, (1K),1h 39m,Horror
146. Bureau 749,4.0, (548),2h 3m,Horror
147. Cinderella's Revenge,3.7, (1.1K),1h 25m,Horror
148. Handsome Guys,6.5, (874),1h 41m,Horror
149. Snakeeater,5.2, (262),1h 20m,Horror
150. Invasive,5.6, (761),1h 37m,Horror
151. The Vampire Next Door,4.6, (775),1h 50m,Horror
152. Munkar,5.2, (525),1h 27m,Horror
153. Ick,5.6, (205),1h 27m,Horror
154. Dark Match,5.4, (970),1h 34m,Horror
155. Dominion of Darkness,5.7, (817),1h 36m,Horror
156. Poison Sangga: The Homewrecker's Curse,6.8, (287),1h 58m,Horror
157. Rippy,4.1, (884),1h 23m,Horror
158. Cinderella's Curse,3.3, (1.3K),1h 22m,Horror
159. Parvulos,6.7, (345),1h 59m,Horror
160. Street Trash,4.5, (883),1h 25m,Horror
161. You Can't Run Forever,4.5, (4.4K),1h 42m,Horror
162. Are You There?,7.0, (51),1h 28m,Horror
163. The Little Mermaid,3.5, (197),1h 29m,Horror
164. Goldilocks and the Three Bears: Death and Porridge,2.1, (1.7K),1h 22m,Horror
165. DarkGame,4.6, (2.9K),1h 40m,Horror
166. HMM Hug Me More,9.7, (1.1K),1h 42m,Horror
167. We Are Wolves,3.5, (263),1h 37m,Horror
168. #AMFAD: All My Friends Are Dead,4.5, (1.2K),1h 31m,Horror
169. Murder Mubarak,5.8, (51K),2h 20m,Horror
170. Swap,2.9, (347),1h 26m,Horror
171. Anaconda,4.9, (644),1h 24m,Horror
172. Baby Invasion,4.6, (507),1h 20m,Horror
173. The Dead Thing,4.7, (947),1h 34m,Horror
174. Its Name Was Mormo,3.7, (117),1h 33m,Horror
175. The Hostage,6.0, (11),1h 27m,Horror
176. Pacific Fear,3.4, (220),1h 25m,Horror
177. The Lost Daughter,5.9, (294),1h 39m,Horror
178. Mom,5.3, (190),1h 35m,Horror
179. Unspeakable: Beyond the Wall of Sleep,6.1, (55),1h 30m,Horror
180. Succubus,3.5, (854),1h 36m,Horror
181. La Patasola,2.6, (55),1h 32m,Horror
182. Sunrise,3.8, (1.1K),1h 33m,Horror
183. Seven Cemeteries,4.6, (629),1h 24m,Horror
184. Do Not Enter,5.3, (611),1h 25m,Horror
185. Alien Country,4.4, (366),1h 36m,Horror
186. Black Cab,4.2, (1.7K),1h 28m,Horror
187. Room Service,3.8, (303),47m,Horror
188. Mutants of Nature Cove,3.6, (152),1h 28m,Horror
189. Orang Ikan,6.7, (38),1h 23m,Horror
190. Crackcoon,3.6, (425),1h 28m,Horror
191. 1978,5.4, (220),1h 16m,Horror
192. The Moogai,5.5, (174),1h 26m,Horror
193. Angels Fallen: Warriors of Peace,4.9, (5.8K),1h 43m,Horror
194. Killer Body Count,4.7, (659),1h 49m,Horror
195. Amityville: Where the Echo Lives,1.5, (387),1h 29m,Horror
196. Malice,3.0, (29),1h 34m,Horror
197. Scurry,7.6, (27),1h 30m,Horror
